Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,858.1900024414062,858.1900024414062,859.1900024414062,837.530029296875,839.969970703125,487300
2020-01-03,865.1300048828125,865.1300048828125,870.9400024414062,853.239990234375,853.239990234375,422700
2020-01-06,858.02001953125,858.02001953125,862.7999877929688,854.0,862.0,405200
2020-01-07,860.0800170898438,860.0800170898438,863.0,854.3900146484375,863.0,243300
2020-01-08,856.72998046875,856.72998046875,867.0,856.1500244140625,856.1500244140625,262500
2020-01-09,862.6699829101562,862.6699829101562,877.0,859.469970703125,866.8599853515625,457300
2020-01-10,857.77001953125,857.77001953125,866.5700073242188,853.0900268554688,866.0,301900
2020-01-13,863.0,863.0,869.77001953125,851.4099731445312,856.1300048828125,304600
2020-01-14,859.219970703125,859.219970703125,863.6199951171875,853.719970703125,861.8499755859375,239300
2020-01-15,865.0900268554688,865.0900268554688,869.4600219726562,858.9000244140625,860.0599975585938,278000
2020-01-16,870.239990234375,870.239990234375,870.8300170898438,865.97998046875,868.780029296875,240300
2020-01-17,878.1500244140625,878.1500244140625,879.0,867.0700073242188,874.6500244140625,361200
2020-01-21,870.72998046875,870.72998046875,887.5999755859375,869.1099853515625,878.7000122070312,298800
2020-01-22,879.1799926757812,879.1799926757812,882.969970703125,873.2000122070312,877.9500122070312,259500
2020-01-23,879.8400268554688,879.8400268554688,884.0,873.2000122070312,873.8900146484375,242100
2020-01-24,869.7100219726562,869.7100219726562,885.0,861.5800170898438,885.0,323000
2020-01-27,865.030029296875,865.030029296875,868.0,855.8099975585938,861.5,259200
2020-01-28,877.8200073242188,877.8200073242188,882.219970703125,867.219970703125,867.219970703125,350600
2020-01-29,879.2999877929688,879.2999877929688,884.25,875.510009765625,878.3300170898438,182600
2020-01-30,879.9500122070312,879.9500122070312,888.5800170898438,873.5599975585938,878.489990234375,251100
2020-01-31,866.760009765625,866.760009765625,885.0399780273438,865.0,879.510009765625,385800
2020-02-03,867.3300170898438,867.3300170898438,880.0,866.6799926757812,868.0,458300
2020-02-04,884.8200073242188,884.8200073242188,890.1699829101562,873.6400146484375,876.010009765625,982200
2020-02-05,854.010009765625,854.010009765625,893.02001953125,851.3599853515625,892.0,1034700
